Release_Year,Media,Total_Releases
1960,Movie,2477
1960,TV Series,434
1961,Movie,2552
1961,TV Series,403
1962,Movie,2530
1962,TV Series,344
1962,Video Game,1
1963,Movie,2519
1963,TV Series,465
1964,Movie,2734
1964,TV Series,503
1965,Movie,2946
1965,TV Series,517
1966,Movie,2920
1966,TV Series,522
1967,Movie,2998
1967,TV Series,577
1968,Movie,3514
1968,TV Series,537
1969,Movie,3466
1969,TV Series,590
1969,Video Game,3
1970,Movie,3787
1970,TV Series,529
1970,Video Game,2
1971,Movie,3761
1971,TV Series,568
1971,Video Game,6
1972,Movie,3490
1972,TV Series,652
1972,Video Game,30
1973,Movie,3467
1973,TV Series,602
1973,Video Game,51
1974,Movie,3408
1974,TV Series,573
1974,Video Game,41
1975,Movie,3570
1975,TV Series,610
1975,Video Game,158
1976,Movie,3452
1976,TV Series,628
1976,Video Game,131
1977,Movie,3460
1977,TV Series,619
1977,Video Game,182
1978,Movie,3556
1978,TV Series,635
1978,Video Game,141
1979,Movie,3682
1979,TV Series,662
1979,Video Game,108
1980,Movie,3646
1980,TV Series,699
1980,Video Game,162
1981,Movie,3640
1981,TV Series,722
1981,Video Game,204
1982,Movie,3543
1982,TV Series,772
1982,Video Game,289
1983,Movie,3681
1983,TV Series,812
1983,Video Game,292
1984,Movie,3759
1984,TV Series,851
1984,Video Game,287
1985,Movie,3898
1985,TV Series,831
1985,Video Game,222
1986,Movie,3829
1986,TV Series,823
1986,Video Game,284
1987,Movie,3862
1987,TV Series,935
1987,Video Game,268
1988,Movie,4016
1988,TV Series,901
1988,Video Game,286
1989,Movie,4005
1989,TV Series,1048
1989,Video Game,326
1990,Movie,4304
1990,TV Series,1174
1990,Video Game,357
1991,Movie,3924
1991,TV Series,1079
1991,Video Game,373
1992,Movie,3854
1992,TV Series,1264
1992,Video Game,361
1993,Movie,3765
1993,TV Series,1304
1993,Video Game,427
1994,Movie,3775
1994,TV Series,1412
1994,Video Game,417
1995,Movie,3858
1995,TV Series,1546
1995,Video Game,427
1996,Movie,3925
1996,TV Series,1615
1996,Video Game,428
1997,Movie,4220
1997,TV Series,1774
1997,Video Game,380
1998,Movie,4281
1998,TV Series,1948
1998,Video Game,398
1999,Movie,4457
1999,TV Series,2163
1999,Video Game,470
2000,Movie,4550
2000,TV Series,2275
2000,Video Game,519
2001,Movie,4837
2001,TV Series,2553
2001,Video Game,490
2002,Movie,4975
2002,TV Series,2584
2002,Video Game,531
2003,Movie,4982
2003,TV Series,2897
2003,Video Game,488
2004,Movie,5455
2004,TV Series,3004
2004,Video Game,465
2005,Movie,5978
2005,TV Series,3235
2005,Video Game,483
2006,Movie,5661
2006,TV Series,3189
2006,Video Game,437
2007,Movie,5534
2007,TV Series,2945
2007,Video Game,417
2008,Movie,7241
2008,TV Series,3796
2008,Video Game,499
2009,Movie,7966
2009,TV Series,3757
2009,Video Game,475
2010,Movie,9167
2010,TV Series,4530
2010,Video Game,492
2011,Movie,10402
2011,TV Series,5537
2011,Video Game,523
2012,Movie,10424
2012,TV Series,5699
2012,Video Game,567
2013,Movie,9748
2013,TV Series,5097
2013,Video Game,499
2014,Movie,9631
2014,TV Series,5118
2014,Video Game,520
2015,Movie,10076
2015,TV Series,5646
2015,Video Game,663
2016,Movie,11333
2016,TV Series,5882
2016,Video Game,695
2017,Movie,11999
2017,TV Series,5553
2017,Video Game,707
2018,Movie,12665
2018,TV Series,5377
2018,Video Game,598
2019,Movie,6773
2019,TV Series,1678
2019,Video Game,152
2020,Movie,131
2020,TV Series,5
2020,Video Game,6
