Release_Year,Genres,Media,Total_Releases
1960,,Movie,442
1960,,TV Series,61
1960,Action,Movie,173
1960,Action,TV Series,5
1960,Adult,Movie,1
1960,Adventure,Movie,128
1960,Adventure,TV Series,24
1960,Animation,Movie,6
1960,Animation,TV Series,16
1960,Biography,Movie,30
1960,Biography,TV Series,1
1960,Comedy,Movie,500
1960,Comedy,TV Series,70
1960,Crime,Movie,248
1960,Crime,TV Series,22
1960,Documentary,Movie,175
1960,Documentary,TV Series,31
1960,Drama,Movie,1033
1960,Drama,TV Series,112
1960,Family,Movie,90
1960,Family,TV Series,68
1960,Fantasy,Movie,52
1960,Fantasy,TV Series,3
1960,Game-Show,TV Series,18
1960,History,Movie,41
1960,History,TV Series,1
1960,Horror,Movie,62
1960,Horror,TV Series,2
1960,Music,Movie,18
1960,Music,TV Series,39
1960,Musical,Movie,117
1960,Musical,TV Series,5
1960,Mystery,Movie,50
1960,Mystery,TV Series,11
1960,News,TV Series,17
1960,Reality-TV,TV Series,4
1960,Romance,Movie,263
1960,Romance,TV Series,23
1960,Sci-Fi,Movie,23
1960,Sci-Fi,TV Series,7
1960,Short,TV Series,3
1960,Sport,Movie,6
1960,Sport,TV Series,10
1960,Talk-Show,TV Series,15
1960,Thriller,Movie,66
1960,Thriller,TV Series,3
1960,War,Movie,92
1960,War,TV Series,2
1960,Western,Movie,60
1960,Western,TV Series,13
1961,,Movie,471
1961,,TV Series,62
1961,Action,Movie,191
1961,Action,TV Series,7
1961,Adventure,Movie,180
1961,Adventure,TV Series,20
1961,Animation,Movie,11
1961,Animation,TV Series,13
1961,Biography,Movie,21
1961,Biography,TV Series,4
1961,Comedy,Movie,502
1961,Comedy,TV Series,73
1961,Crime,Movie,194
1961,Crime,TV Series,23
1961,Documentary,Movie,189
1961,Documentary,TV Series,29
1961,Drama,Movie,1033
1961,Drama,TV Series,104
1961,Family,Movie,87
1961,Family,TV Series,65
1961,Fantasy,Movie,57
1961,Fantasy,TV Series,1
1961,Game-Show,TV Series,20
1961,History,Movie,50
1961,History,TV Series,3
1961,Horror,Movie,49
1961,Horror,TV Series,4
1961,Music,Movie,19
1961,Music,TV Series,41
1961,Musical,Movie,108
1961,Musical,TV Series,7
1961,Mystery,Movie,51
1961,Mystery,TV Series,8
1961,News,TV Series,5
1961,Reality-TV,TV Series,1
1961,Romance,Movie,265
1961,Romance,TV Series,24
1961,Sci-Fi,Movie,26
1961,Sci-Fi,TV Series,8
1961,Short,TV Series,4
1961,Sport,Movie,10
1961,Sport,TV Series,4
1961,Talk-Show,TV Series,12
1961,Thriller,Movie,84
1961,Thriller,TV Series,2
1961,War,Movie,102
1961,War,TV Series,1
1961,Western,Movie,61
1961,Western,TV Series,3
1962,,Movie,409
1962,,TV Series,63
1962,Action,Movie,207
1962,Action,TV Series,4
1962,Action,Video Game,1
1962,Adventure,Movie,207
1962,Adventure,TV Series,14
1962,Animation,Movie,14
1962,Animation,TV Series,11
1962,Biography,Movie,23
1962,Biography,TV Series,2
1962,Comedy,Movie,532
1962,Comedy,TV Series,65
1962,Crime,Movie,193
1962,Crime,TV Series,11
1962,Documentary,Movie,173
1962,Documentary,TV Series,25
1962,Drama,Movie,1066
1962,Drama,TV Series,87
1962,Family,Movie,86
1962,Family,TV Series,64
1962,Fantasy,Movie,50
1962,Fantasy,TV Series,2
1962,Game-Show,TV Series,14
1962,History,Movie,41
1962,History,TV Series,5
1962,Horror,Movie,53
1962,Horror,TV Series,6
1962,Music,Movie,29
1962,Music,TV Series,25
1962,Musical,Movie,117
1962,Musical,TV Series,7
1962,Mystery,Movie,68
1962,Mystery,TV Series,6
1962,News,TV Series,8
1962,Reality-TV,TV Series,3
1962,Romance,Movie,245
1962,Romance,TV Series,24
1962,Sci-Fi,Movie,28
1962,Sci-Fi,TV Series,8
1962,Sci-Fi,Video Game,1
1962,Short,TV Series,2
1962,Sport,Movie,5
1962,Sport,TV Series,6
1962,Talk-Show,TV Series,14
1962,Thriller,Movie,74
1962,Thriller,TV Series,6
1962,War,Movie,97
1962,War,TV Series,4
1962,Western,Movie,62
1962,Western,TV Series,5
1963,,Movie,444
1963,,TV Series,95
1963,Action,Movie,208
1963,Action,TV Series,8
1963,Adult,Movie,1
1963,Adventure,Movie,162
1963,Adventure,TV Series,27
1963,Animation,Movie,7
1963,Animation,TV Series,16
1963,Biography,Movie,15
1963,Comedy,Movie,539
1963,Comedy,TV Series,90
1963,Crime,Movie,192
1963,Crime,TV Series,18
1963,Documentary,Movie,222
1963,Documentary,TV Series,28
1963,Drama,Movie,976
1963,Drama,TV Series,93
1963,Family,Movie,83
1963,Family,TV Series,68
1963,Fantasy,Movie,46
1963,Fantasy,TV Series,3
1963,Game-Show,TV Series,19
1963,History,Movie,39
1963,History,TV Series,6
1963,Horror,Movie,65
1963,Horror,TV Series,11
1963,Music,Movie,17
1963,Music,TV Series,49
1963,Musical,Movie,113
1963,Musical,TV Series,9
1963,Mystery,Movie,57
1963,Mystery,TV Series,8
1963,News,TV Series,10
1963,Reality-TV,TV Series,2
1963,Romance,Movie,229
1963,Romance,TV Series,37
1963,Sci-Fi,Movie,24
1963,Sci-Fi,TV Series,10
1963,Short,TV Series,2
1963,Sport,Movie,12
1963,Sport,TV Series,6
1963,Talk-Show,TV Series,12
1963,Thriller,Movie,64
1963,Thriller,TV Series,2
1963,War,Movie,85
1963,War,TV Series,3
1963,Western,Movie,47
1963,Western,TV Series,3
1964,,Movie,473
1964,,TV Series,101
1964,Action,Movie,274
1964,Action,TV Series,11
1964,Adult,Movie,2
1964,Adventure,Movie,208
1964,Adventure,TV Series,26
1964,Animation,Movie,10
1964,Animation,TV Series,14
1964,Biography,Movie,18
1964,Biography,TV Series,3
1964,Comedy,Movie,574
1964,Comedy,TV Series,105
1964,Crime,Movie,217
1964,Crime,TV Series,21
1964,Documentary,Movie,207
1964,Documentary,TV Series,37
1964,Drama,Movie,1023
1964,Drama,TV Series,95
1964,Family,Movie,72
1964,Family,TV Series,65
1964,Fantasy,Movie,64
1964,Fantasy,TV Series,5
1964,Game-Show,TV Series,18
1964,History,Movie,50
1964,History,TV Series,7
1964,Horror,Movie,62
1964,Horror,TV Series,12
1964,Music,Movie,22
1964,Music,TV Series,48
1964,Musical,Movie,136
1964,Musical,TV Series,9
1964,Mystery,Movie,70
1964,Mystery,TV Series,4
1964,News,TV Series,8
1964,Reality-TV,TV Series,1
1964,Romance,Movie,273
1964,Romance,TV Series,29
1964,Sci-Fi,Movie,26
1964,Sci-Fi,TV Series,7
1964,Short,TV Series,2
1964,Sport,Movie,14
1964,Sport,TV Series,7
1964,Talk-Show,TV Series,21
1964,Thriller,Movie,89
1964,Thriller,TV Series,7
1964,War,Movie,99
1964,War,TV Series,4
1964,Western,Movie,80
1964,Western,TV Series,5
1965,,Movie,638
1965,,TV Series,105
1965,Action,Movie,297
1965,Action,TV Series,8
1965,Adult,Movie,5
1965,Adventure,Movie,224
1965,Adventure,TV Series,21
1965,Animation,Movie,15
1965,Animation,TV Series,25
1965,Biography,Movie,28
1965,Biography,TV Series,2
1965,Comedy,Movie,520
1965,Comedy,TV Series,90
1965,Crime,Movie,197
1965,Crime,TV Series,17
1965,Documentary,Movie,185
1965,Documentary,TV Series,31
1965,Drama,Movie,1069
1965,Drama,TV Series,96
1965,Family,Movie,72
1965,Family,TV Series,72
1965,Fantasy,Movie,54
1965,Fantasy,TV Series,5
1965,Game-Show,TV Series,24
1965,History,Movie,45
1965,History,TV Series,1
1965,Horror,Movie,63
1965,Horror,TV Series,2
1965,Music,Movie,26
1965,Music,TV Series,62
1965,Musical,Movie,116
1965,Musical,TV Series,2
1965,Mystery,Movie,63
1965,Mystery,TV Series,8
1965,News,TV Series,12
1965,Romance,Movie,301
1965,Romance,TV Series,34
1965,Sci-Fi,Movie,41
1965,Sci-Fi,TV Series,11
1965,Short,TV Series,1
1965,Sport,Movie,13
1965,Sport,TV Series,5
1965,Talk-Show,TV Series,22
1965,Thriller,Movie,97
1965,Thriller,TV Series,7
1965,War,Movie,122
1965,War,TV Series,4
1965,Western,Movie,107
1965,Western,TV Series,8
1966,,Movie,559
1966,,TV Series,95
1966,Action,Movie,325
1966,Action,TV Series,22
1966,Adult,Movie,3
1966,Adventure,Movie,260
1966,Adventure,TV Series,37
1966,Animation,Movie,15
1966,Animation,TV Series,28
1966,Biography,Movie,17
1966,Biography,TV Series,1
1966,Comedy,Movie,534
1966,Comedy,TV Series,99
1966,Crime,Movie,248
1966,Crime,TV Series,20
1966,Documentary,Movie,140
1966,Documentary,TV Series,37
1966,Drama,Movie,1101
1966,Drama,TV Series,86
1966,Family,Movie,85
1966,Family,TV Series,82
1966,Fantasy,Movie,57
1966,Fantasy,TV Series,4
1966,Game-Show,TV Series,23
1966,History,Movie,42
1966,History,TV Series,4
1966,Horror,Movie,56
1966,Horror,TV Series,4
1966,Music,Movie,19
1966,Music,TV Series,44
1966,Musical,Movie,127
1966,Musical,TV Series,8
1966,Mystery,Movie,56
1966,Mystery,TV Series,8
1966,News,TV Series,10
1966,Reality-TV,TV Series,2
1966,Romance,Movie,312
1966,Romance,TV Series,39
1966,Sci-Fi,Movie,48
1966,Sci-Fi,TV Series,16
1966,Short,TV Series,3
1966,Sport,Movie,17
1966,Sport,TV Series,3
1966,Talk-Show,TV Series,24
1966,Thriller,Movie,85
1966,Thriller,TV Series,8
1966,War,Movie,97
1966,War,TV Series,4
1966,Western,Movie,132
1966,Western,TV Series,8
1967,,Movie,593
1967,,TV Series,96
1967,Action,Movie,289
1967,Action,TV Series,17
1967,Adult,Movie,1
1967,Adventure,Movie,273
1967,Adventure,TV Series,39
1967,Animation,Movie,22
1967,Animation,TV Series,37
1967,Biography,Movie,17
1967,Biography,TV Series,4
1967,Comedy,Movie,542
1967,Comedy,TV Series,117
1967,Crime,Movie,296
1967,Crime,TV Series,32
1967,Documentary,Movie,155
1967,Documentary,TV Series,32
1967,Drama,Movie,1131
1967,Drama,TV Series,121
1967,Family,Movie,85
1967,Family,TV Series,67
1967,Fantasy,Movie,55
1967,Fantasy,TV Series,16
1967,Game-Show,TV Series,29
1967,History,Movie,42
1967,History,TV Series,7
1967,Horror,Movie,59
1967,Horror,TV Series,7
1967,Music,Movie,32
1967,Music,TV Series,50
1967,Musical,Movie,139
1967,Musical,TV Series,9
1967,Mystery,Movie,65
1967,Mystery,TV Series,17
1967,News,TV Series,8
1967,Romance,Movie,297
1967,Romance,TV Series,48
1967,Sci-Fi,Movie,45
1967,Sci-Fi,TV Series,7
1967,Short,TV Series,2
1967,Sport,Movie,11
1967,Sport,TV Series,1
1967,Talk-Show,TV Series,26
1967,Thriller,Movie,129
1967,Thriller,TV Series,7
1967,War,Movie,81
1967,War,TV Series,4
1967,Western,Movie,105
1967,Western,TV Series,7
1968,,Movie,872
1968,,TV Series,98
1968,Action,Movie,275
1968,Action,TV Series,12
1968,Adult,Movie,8
1968,Adventure,Movie,238
1968,Adventure,TV Series,37
1968,Animation,Movie,22
1968,Animation,TV Series,28
1968,Biography,Movie,19
1968,Biography,TV Series,2
1968,Comedy,Movie,580
1968,Comedy,TV Series,118
1968,Crime,Movie,264
1968,Crime,TV Series,17
1968,Documentary,Movie,219
1968,Documentary,TV Series,28
1968,Drama,Movie,1282
1968,Drama,TV Series,105
1968,Family,Movie,74
1968,Family,TV Series,72
1968,Fantasy,Movie,66
1968,Fantasy,TV Series,10
1968,Game-Show,TV Series,17
1968,History,Movie,44
1968,History,TV Series,7
1968,Horror,Movie,84
1968,Horror,TV Series,5
1968,Music,Movie,17
1968,Music,TV Series,61
1968,Musical,Movie,111
1968,Musical,TV Series,8
1968,Mystery,Movie,64
1968,Mystery,TV Series,5
1968,News,TV Series,17
1968,Reality-TV,TV Series,4
1968,Romance,Movie,337
1968,Romance,TV Series,32
1968,Sci-Fi,Movie,43
1968,Sci-Fi,TV Series,8
1968,Short,TV Series,2
1968,Sport,Movie,19
1968,Sport,TV Series,10
1968,Talk-Show,TV Series,27
1968,Thriller,Movie,114
1968,Thriller,TV Series,3
1968,War,Movie,118
1968,War,TV Series,3
1968,Western,Movie,119
1968,Western,TV Series,3
1969,,Movie,676
1969,,TV Series,110
1969,,Video Game,1
1969,Action,Movie,378
1969,Action,TV Series,11
1969,Adult,Movie,16
1969,Adventure,Movie,233
1969,Adventure,TV Series,39
1969,Animation,Movie,15
1969,Animation,TV Series,38
1969,Biography,Movie,29
1969,Biography,TV Series,2
1969,Comedy,Movie,584
1969,Comedy,TV Series,128
1969,Crime,Movie,286
1969,Crime,TV Series,16
1969,Documentary,Movie,198
1969,Documentary,TV Series,34
1969,Drama,Movie,1427
1969,Drama,TV Series,122
1969,Family,Movie,82
1969,Family,TV Series,80
1969,Fantasy,Movie,73
1969,Fantasy,TV Series,7
1969,Game-Show,TV Series,30
1969,History,Movie,56
1969,History,TV Series,8
1969,Horror,Movie,66
1969,Horror,TV Series,9
1969,Music,Movie,29
1969,Music,TV Series,47
1969,Musical,Movie,107
1969,Musical,TV Series,3
1969,Mystery,Movie,57
1969,Mystery,TV Series,14
1969,News,TV Series,7
1969,Reality-TV,TV Series,2
1969,Romance,Movie,343
1969,Romance,TV Series,58
1969,Sci-Fi,Movie,40
1969,Sci-Fi,TV Series,9
1969,Sci-Fi,Video Game,2
1969,Short,TV Series,5
1969,Sport,Movie,15
1969,Sport,TV Series,10
1969,Talk-Show,TV Series,16
1969,Thriller,Movie,101
1969,Thriller,TV Series,5
1969,War,Movie,106
1969,War,TV Series,3
1969,Western,Movie,94
1969,Western,TV Series,1
1970,,Movie,842
1970,,TV Series,78
1970,Action,Movie,329
1970,Action,TV Series,9
1970,Action,Video Game,2
1970,Adult,Movie,107
1970,Adventure,Movie,256
1970,Adventure,TV Series,23
1970,Animation,Movie,22
1970,Animation,TV Series,21
1970,Biography,Movie,37
1970,Biography,TV Series,2
1970,Comedy,Movie,642
1970,Comedy,TV Series,143
1970,Crime,Movie,233
1970,Crime,TV Series,14
1970,Documentary,Movie,302
1970,Documentary,TV Series,21
1970,Drama,Movie,1359
1970,Drama,TV Series,119
1970,Family,Movie,93
1970,Family,TV Series,65
1970,Fantasy,Movie,82
1970,Fantasy,TV Series,7
1970,Game-Show,TV Series,21
1970,History,Movie,51
1970,History,TV Series,3
1970,Horror,Movie,101
1970,Horror,TV Series,13
1970,Music,Movie,41
1970,Music,TV Series,44
1970,Musical,Movie,114
1970,Musical,TV Series,18
1970,Mystery,Movie,54
1970,Mystery,TV Series,10
1970,News,TV Series,16
1970,Reality-TV,TV Series,1
1970,Romance,Movie,345
1970,Romance,TV Series,25
1970,Sci-Fi,Movie,35
1970,Sci-Fi,TV Series,8
1970,Short,TV Series,2
1970,Sport,Movie,24
1970,Sport,TV Series,10
1970,Talk-Show,TV Series,25
1970,Thriller,Movie,106
1970,Thriller,TV Series,8
1970,War,Movie,108
1970,War,TV Series,5
1970,Western,Movie,92
1970,Western,Video Game,1
1971,,Movie,894
1971,,TV Series,78
1971,Action,Movie,308
1971,Action,TV Series,17
1971,Action,Video Game,2
1971,Adult,Movie,217
1971,Adventure,Movie,229
1971,Adventure,TV Series,35
1971,Adventure,Video Game,2
1971,Animation,Movie,17
1971,Animation,TV Series,31
1971,Biography,Movie,29
1971,Biography,TV Series,3
1971,Comedy,Movie,613
1971,Comedy,TV Series,151
1971,Crime,Movie,251
1971,Crime,TV Series,21
1971,Documentary,Movie,273
1971,Documentary,TV Series,25
1971,Drama,Movie,1290
1971,Drama,TV Series,133
1971,Family,Movie,82
1971,Family,TV Series,78
1971,Family,Video Game,1
1971,Fantasy,Movie,73
1971,Fantasy,TV Series,11
1971,Game-Show,TV Series,27
1971,History,Movie,60
1971,History,TV Series,3
1971,History,Video Game,1
1971,Horror,Movie,134
1971,Horror,TV Series,6
1971,Music,Movie,30
1971,Music,TV Series,56
1971,Musical,Movie,91
1971,Musical,TV Series,10
1971,Mystery,Movie,72
1971,Mystery,TV Series,9
1971,News,Movie,1
1971,News,TV Series,10
1971,Reality-TV,Movie,1
1971,Reality-TV,TV Series,4
1971,Romance,Movie,284
1971,Romance,TV Series,33
1971,Sci-Fi,Movie,37
1971,Sci-Fi,TV Series,3
1971,Sci-Fi,Video Game,3
1971,Short,Movie,1
1971,Short,TV Series,4
1971,Sport,Movie,15
1971,Sport,TV Series,7
1971,Sport,Video Game,1
1971,Talk-Show,TV Series,32
1971,Thriller,Movie,139
1971,Thriller,TV Series,6
1971,War,Movie,69
1971,War,TV Series,4
1971,Western,Movie,115
1971,Western,TV Series,2
1972,,Movie,708
1972,,TV Series,95
1972,,Video Game,1
1972,Action,Movie,327
1972,Action,TV Series,25
1972,Action,Video Game,8
1972,Adult,Movie,159
1972,Adventure,Movie,208
1972,Adventure,TV Series,51
1972,Adventure,Video Game,1
1972,Animation,Movie,15
1972,Animation,TV Series,45
1972,Biography,Movie,32
1972,Biography,TV Series,4
1972,Comedy,Movie,610
1972,Comedy,TV Series,175
1972,Crime,Movie,278
1972,Crime,TV Series,30
1972,Documentary,Movie,247
1972,Documentary,TV Series,34
1972,Drama,Movie,1245
1972,Drama,TV Series,145
1972,Family,Movie,121
1972,Family,TV Series,106
1972,Family,Video Game,8
1972,Fantasy,Movie,66
1972,Fantasy,TV Series,12
1972,Fantasy,Video Game,3
1972,Game-Show,TV Series,29
1972,Game-Show,Video Game,1
1972,History,Movie,53
1972,History,TV Series,8
1972,Horror,Movie,147
1972,Horror,TV Series,9
1972,Horror,Video Game,1
1972,Music,Movie,28
1972,Music,TV Series,44
1972,Musical,Movie,98
1972,Musical,TV Series,9
1972,Mystery,Movie,79
1972,Mystery,TV Series,9
1972,Mystery,Video Game,1
1972,News,Movie,2
1972,News,TV Series,12
1972,Reality-TV,TV Series,4
1972,Romance,Movie,275
1972,Romance,TV Series,28
1972,Sci-Fi,Movie,36
1972,Sci-Fi,TV Series,12
1972,Sci-Fi,Video Game,3
1972,Short,Movie,1
1972,Short,TV Series,5
1972,Sport,Movie,26
1972,Sport,TV Series,11
1972,Sport,Video Game,12
1972,Talk-Show,Movie,1
1972,Talk-Show,TV Series,25
1972,Thriller,Movie,151
1972,Thriller,TV Series,5
1972,War,Movie,58
1972,War,TV Series,7
1972,Western,Movie,114
1972,Western,TV Series,4
1972,Western,Video Game,1
1973,,Movie,706
1973,,TV Series,79
1973,,Video Game,2
1973,Action,Movie,406
1973,Action,TV Series,28
1973,Action,Video Game,7
1973,Adult,Movie,199
1973,Adventure,Movie,184
1973,Adventure,TV Series,36
1973,Animation,Movie,21
1973,Animation,TV Series,40
1973,Biography,Movie,42
1973,Biography,TV Series,1
1973,Comedy,Movie,589
1973,Comedy,TV Series,138
1973,Crime,Movie,335
1973,Crime,TV Series,32
1973,Documentary,Movie,261
1973,Documentary,TV Series,31
1973,Drama,Movie,1235
1973,Drama,TV Series,154
1973,Family,Movie,109
1973,Family,TV Series,78
1973,Family,Video Game,5
1973,Fantasy,Movie,79
1973,Fantasy,TV Series,14
1973,Game-Show,TV Series,21
1973,History,Movie,69
1973,History,TV Series,12
1973,Horror,Movie,151
1973,Horror,TV Series,8
1973,Music,Movie,34
1973,Music,TV Series,45
1973,Musical,Movie,69
1973,Musical,TV Series,11
1973,Mystery,Movie,51
1973,Mystery,TV Series,17
1973,News,TV Series,9
1973,Reality-TV,TV Series,3
1973,Romance,Movie,230
1973,Romance,TV Series,30
1973,Sci-Fi,Movie,34
1973,Sci-Fi,TV Series,9
1973,Sci-Fi,Video Game,7
1973,Sport,Movie,21
1973,Sport,TV Series,14
1973,Sport,Video Game,35
1973,Talk-Show,TV Series,26
1973,Thriller,Movie,164
1973,Thriller,TV Series,9
1973,Thriller,Video Game,1
1973,War,Movie,64
1973,War,TV Series,6
1973,Western,Movie,75
1973,Western,TV Series,2
1974,,Movie,658
1974,,TV Series,60
1974,,Video Game,2
1974,Action,Movie,393
